frame,time_s,center_x,center_y,radius_px
0,0.0,29.7388973236084,29.50153160095215,16.370092391967773
1,1e-07,29.711999893188477,29.42799949645996,16.36378288269043
2,2e-07,29.70793914794922,29.384687423706055,16.372041702270508
3,3e-07,29.70793914794922,29.384687423706055,16.372041702270508
4,4e-07,29.70793914794922,29.384687423706055,16.372041702270508
5,5e-07,29.70793914794922,29.384687423706055,16.372041702270508
6,6e-07,29.71232795715332,29.431507110595703,16.36311912536621
7,7e-07,29.71875,29.5,16.35030174255371
8,8e-07,29.628755569458008,29.600858688354492,16.291996002197266
9,9e-07,29.574073791503906,29.61111068725586,16.340213775634766
10,1e-06,29.64285659790039,29.404762268066406,16.344778060913086
11,1.1e-06,29.661291122436523,29.5,16.295066833496094
12,1.2e-06,29.64285659790039,29.5,16.364883422851562
13,1.3e-06,29.622806549072266,29.448963165283203,16.386560440063477
14,1.4e-06,29.622806549072266,29.448963165283203,16.386560440063477
15,1.5e-06,29.608489990234375,29.51886749267578,16.42999267578125
16,1.6e-06,29.608489990234375,29.51886749267578,16.42999267578125
17,1.7e-06,29.628618240356445,29.42926025390625,16.036653518676758
18,1.8e-06,29.5,29.45652198791504,15.930032730102539
19,1.9e-06,29.663742065429688,29.365497589111328,16.021316528320312
20,2e-06,29.54523468017578,29.561389923095703,16.7424259185791
21,2.1e-06,29.5,29.66666603088379,17.147336959838867
22,2.2e-06,29.567567825317383,29.7297306060791,16.657718658447266
23,2.3e-06,29.918787002563477,29.15361976623535,15.657477378845215
24,2.4e-06,29.866666793823242,29.14666748046875,14.8674898147583
25,2.5e-06,30.0,29.0,15.297158241271973
26,2.6e-06,29.78125,29.421875,16.518295288085938
27,2.7e-06,29.576923370361328,29.788461685180664,17.558591842651367
28,2.8e-06,29.706186294555664,29.63401985168457,17.347776412963867
29,2.9e-06,29.5,29.5,15.953156471252441
30,3e-06,29.71875,29.28125,14.384404182434082
31,3.1e-06,29.81147575378418,29.155736923217773,14.213720321655273
32,3.2e-06,29.30769157409668,29.102563858032227,15.61904239654541
33,3.3e-06,29.264150619506836,29.60377311706543,17.476778030395508
34,3.4e-06,29.30544662475586,29.570039749145508,18.051204681396484
35,3.5e-06,29.447368621826172,29.473684310913086,17.16043472290039
36,3.6e-06,29.475000381469727,29.475000381469727,15.15104866027832
37,3.7e-06,29.580310821533203,29.150259017944336,13.629037857055664
38,3.8e-06,29.658536911010742,29.190244674682617,14.286937713623047
39,3.9e-06,29.540084838867188,29.443037033081055,16.50782012939453
40,4e-06,29.617647171020508,29.617647171020508,17.98533821105957
41,4.1e-06,29.621253967285156,29.580381393432617,18.04796600341797
42,4.2e-06,29.52293586730957,29.348623275756836,16.68912124633789
43,4.3e-06,29.523529052734375,29.18235206604004,14.524774551391602
44,4.4e-06,29.508474349975586,29.25423812866211,13.604104995727539
45,4.5e-06,29.739360809326172,28.882978439331055,15.065444946289062
46,4.6e-06,30.0,29.117647171020508,17.146930694580078
47,4.7e-06,30.0,29.375,18.381900787353516
48,4.8e-06,30.029945373535156,29.407440185546875,17.86793327331543
